3 axis manipulator for Delta Stage;;;;;;;;;
;;;;;;;;;
;;Name;MPN;Manufacturer;Unit price;Total price;Number;Comments;Source
;To connect  electronics together;Connector header XH Top 4POS 2,5mm male pin;B4B-XH-A(LF)(SN);JST; £0,01 ; £0,11 ;9;;https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/B4B-XH-A-LF-SN/1651047
;;Connector rcpt hsg 4POS 2,5mm female socket;XHP-4;JST; £0,06 ; £0,54 ;9;;https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/XHP-4/683353
;;Beehive board;;; £25,00 ; £25,00 ;1;Open source hardware;https://github.com/amchagas/BeeHive
;;ESP32 WROOM-32 38 pins Development Board Dual Core;-;-; £6,59 ; £6,59 ;1;;NodeMcu ESP32 WROOM-32 38 pins Development Board Dual Core WLAN WiFi Bluetooth | eBay
;;"JUMPER SXH-001T-P0.6 X2 10""";ASXHSXH22K254;JST; £0,54 ; £16,20 ;30;;https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/ASXHSXH22K254/9961919?s=N4IgTCBcDaICwFYEFo5jAZmQOQCIgF0BfIA
;;Step-down regulator;LM2596T-5.0/NOPB;Texas Instrument; £0,04 ; £0,08 ;2;;https://www.ti.com/product/LM2596/part-details/LM2596T-5.0/NOPB
;;Inductor 33µH Neosid MA-Bs75;"	
RLB0914-330KL";Bourns; £0,43 ; £0,43 ;1;;https://www.digikey.com/en/products/detail/bourns-inc/RLB0914-330KL/2561360
;;"	Diode Schottky 5A DO-201AD";1N5822-E3/73;Vishay; £0,39 ; £0,39 ;1;;https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/1N5822-E3-73/2139982
;;680µF Capacitor;16ZL680MEFC10X16;Rubycon; £0,63 ; £0,63 ;1;;https://www.digikey.co.uk/en/products/detail/rubycon/16ZL680MEFC10X16/3563708
;;CAP ALUM 220UF 20% 25V RADIAL;"	EEU-FM1E221";Panasonic ; £0,52 ; £0,52 ;1;;https://www.digikey.co.uk/en/products/detail/panasonic-electronic-components/EEU-FM1E221/613744
;;AC/DC DESKTOP ADAPTER 12V 60W;23SW-00120500-S10B-US;Ideal Power; £15,96 ; £15,96 ;1;; https://www.digikey.co.uk/en/products/detail/ideal-power-ltd/23SW-00120500-S10B-US/12818208 
;Rotary encoders;Rotary encoder;ENA1J-B28-L00100L;Bourns; £36,43 ; £109,29 ;3;;https://www.digikey.co.uk/en/products/detail/bourns-inc/ena1j-b28-l00100l/1089389
;;Custom made board;-;Aisler; £5,54 ; £16,61 ;3;Custom made;https://github.com/Open-2-Photon-Microscope/3-axis-controller/tree/main/board/board2
;;Connector header XH Top 4POS 2,5mm male pin;B4B-XH-A(LF)(SN);JST; £0,01 ; £0,07 ;6;;https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/B4B-XH-A-LF-SN/1651047
;;Connector rcpt hsg 4POS 2,5mm female socket;XHP-4;JST; £0,06 ; £0,36 ;6;;https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/XHP-4/683353
;;Resistor TH 1000 Ω;MOS2CT52R102G;KOA Speer Electronics; £0,06 ; £0,72 ;12;;https://www.digikey.co.uk/en/products/detail/koa-speer-electronics-inc/MOS2CT52R102G/15276345
;;Resistor TH 1800 Ω;MOS2CT52R102G;KOA Speer Electronics; £0,05 ; £0,30 ;6;;https://www.digikey.co.uk/en/products/detail/koa-speer-electronics-inc/MOS2CT52R182J/15276195
;;Capacitor 22 nF ;C322C223K3G5TA;Kemet; £0,31 ; £1,86 ;6;;https://www.digikey.co.uk/en/products/detail/kemet/C322C223K3G5TA/6656621
;;"JUMPER SXH-001T-P0.6 X2 10""";ASXHSXH22K254;JST; £0,54 ; £6,48 ;12;;https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/ASXHSXH22K254/9961919?s=N4IgTCBcDaICwFYEFo5jAZmQOQCIgF0BfIA
;;Wire 1m 2.5mm2;-;-; £2,50 ; £2,50 ;1;;1 CORE ELECTRICAL CABLE SINGLE WIRE INSULATED 6491X CUT LENGTH 1.5/2.5/4/6/10mm2 | eBay
;;Shrink tube 3:1, unlined 4.8mm 1.2m;-;-; £2,75 ; £2,75 ;1;;Heat Shrink 0.6mm - 50mm 2:1 & 3:1 Various Colours Tubing Tube Sleeving | eBay
;Motors;5V Stepper Motor with ULN2003 Driver Motor Driver Controller Board;-;-; £3,08 ; £9,23 ;3;/!\ box design made for 35*31 driver boards;https://www.ebay.co.uk/itm/403694902128?_trkparms=amclksrc%3DITM%26aid%3D1110006%26algo%3DHOMESPLICE.SIM%26ao%3D1%26asc%3D240657%26meid%3Df78300200e77421d9b3cf39bda806d64%26pid%3D101196%26rk%3D2%26rkt%3D9%26sd%3D191457771129%26itm%3D403694902128%26pmt%3D1%26noa%3D0%26pg%3D2047675%26algv%3DSimplAMLv5PairwiseWebWithBBEV2bAndUBSourceDemotionWithUltimatelyBoughtOfCoviewV1%26brand%3DUnbranded&_trksid=p2047675.c101196.m2219&amdata=cksum%3A403694902128f78300200e77421d9b3cf39bda806d64%7Cenc%3AAQAHAAABMIep8YrnpoI5Ip1Fr26ya5Zdwg2V78Yl01uYLsdPZcFTvxKxDts2M2LiSIpUM3yyPCg4I%252FI%252F%252BBr%252B3lbC%252BxYqInYGBmzIxc4EMw3YF0EDxTKyT33r2u1u%252F5qPky2zdVHWSXeOifyo0%252FibvGtiRgDglyeI13GDVG%252BQNoWi%252F%252Bxhi4yXQW12kyT9ugryy8IXWGiKHg9esEucAp6svQJFKEUA0c0qMcYv4RLV7npmEPUUQ3ye3E2ZSzT7TEZpwLTxr9om87YmW5mGB2Pbc2jHlRk5gTHmsjVkhv0qhVb52U4dQnUUPCeq8vuHqxI9BSCFic6zvsUhUa4RD5lMejME0V0g0pZ1yAQQPYnqRnDUD8QM6Z6qAQJokCCjeWDZQQT6EKaGXJC5WdZ9NN%252FVkFWeh3XiIn8%253D%7Campid%3APL_CLK%7Cclp%3A2047675
;;Connector header XH Top 4POS 2,5mm male pin;B4B-XH-A(LF)(SN);JST; £0,01 ; £0,04 ;3;;https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/1N5359BG?qs=y2kkmE52mdOH2DdJ0ygiPA%3D%3D&vip=1&gclid=Cj0KCQjw6KrtBRDLARIsAKzvQIG8LLV83hdKzFFUCWEDmxG3XcqZqaj67jLdHpQip-_EYUCvHJ7Kf2caArYREALw_wcB
;;Connector rcpt hsg 4POS 2,5mm female socket;XHP-4;JST; £0,06 ; £0,18 ;3;;https://www.mouser.co.uk/ProductDetail/Ohmite/OX331KE?qs=sGAEpiMZZMvmQ%252BOLa8n%2FM%252B3bRynd2g4cXEN6gLXWUV0%3D
;;"JUMPER SXH-001T-P0.6 X2 10""";ASXHSXH22K254;JST; £0,54 ; £9,72 ;18;;https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/ASXHSXH22K254/9961919?s=N4IgTCBcDaICwFYEFo5jAZmQOQCIgF0BfIA
;Box;PLA 3100, BLK, 1.75MM, .75KG;JA3D-C1001407;Jabil; £0,02 ; £7,63 ;312 g;;https://www.digikey.co.uk/en/products/detail/jabil-inc/JA3D-C1001407/16184068
;;"Screw M3; 6 mm long rod; Ø5 mm head";RM3X6MM 2701;APM Hexseal; £0,35 ; £9,80 ;28;;https://www.digikey.com/en/products/detail/apm-hexseal/RM3X6MM-2701/612968 
;;Nut M3;MHNZ 003;B&F Fastener Supply; £0,04 ; £2,02 ;56;;https://www.digikey.co.uk/en/products/detail/b-f-fastener-supply/MHNZ-003/274973
;;;;;;;;;
;;;;;;;;;
;;;;Total cost;; £245,99 ;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
