Designator,Mid X,Mid Y,Rotation,Layer
C1,170.45,-52.05,90.0,top
C13,170.06,-105.7874,90.0,top
C2,170.45,-70.0,90.0,top
C3,110.2,-60.0,270.0,top
C4,110.75,-86.7,270.0,top
C5,151.3,-116.282323,90.0,top
C6,149.7,-104.302651,270.0,top
C7,171.31,-86.759999,90.0,top
C8,170.81,-139.8874,90.0,top
C9,170.31,-122.359999,90.0,top
CON1,121.95,-45.25,270.0,top
D1,137.2,-120.5,270.0,top
D2,112.7,-43.5,0.0,top
J1,189.2,-62.25,90.0,top
J13,100.8,-69.65,270.0,top
J15,100.75,-86.55,270.0,top
J17,100.65,-103.45,270.0,top
J2,189.225,-133.25,90.0,top
J5,189.225,-96.75,90.0,top
L1,137.2,-104.5,90.0,top
P1,110.175,-51.0,270.0,top
P10,139.75,-147.025,0.0,top
P15,151.05,-147.025,0.0,top
P16,97.675,-120.25,270.0,top
P2,106.925,-134.5,270.0,top
P3,116.675,-134.5,270.0,top
P4,116.675,-120.0,270.0,top
P6,97.675,-134.5,270.0,top
Q1,163.81,-52.26,270.0,top
Q2,163.95,-69.8,270.0,top
Q3,163.81,-140.36,270.0,top
Q4,163.81,-122.94,270.0,top
Q5,164.06,-105.51,270.0,top
Q6,164.2,-87.55,270.0,top
R1,169.2,-46.05,180.0,top
R10,169.2,-134.15,180.0,top
R11,169.3,-116.65,180.0,top
R12,169.3,-146.65,180.0,top
R13,169.2,-129.4,180.0,top
R14,179.7,-140.65,270.0,top
R15,179.7,-123.65,270.0,top
R2,169.3,-63.55,180.0,top
R28,179.95,-105.15,90.0,top
R29,169.45,-111.55,180.0,top
R3,169.3,-58.8,180.0,top
R30,169.45,-99.3,180.0,top
R31,179.95,-88.05,270.0,top
R4,169.55,-76.3,180.0,top
R5,179.7,-52.65,270.0,top
R6,179.7,-70.3,90.0,top
R7,120.7,-56.0,0.0,top
R8,169.7,-81.3,180.0,top
R9,169.7,-94.05,180.0,top
U1,119.125,-93.905,180.0,top
U2,119.2,-71.5,180.0,top
U3,149.8,-127.55,180.0,top
U4,143.7275,-70.19,180.0,top
